platform,count,north_america,europe,japan,rest_of_world,global,North America Ave/Platform,Europe Ave/Platform,Japan Ave/Platform,Rest of World Ave/Platform,Global Ave/Platform
PS2,378,410.41,263.31,69.11,116.53,859.32,1.085740740740741,0.6965873015873016,0.18283068783068782,0.30828042328042327,2.2733333333333334
PS,228,239.94,147.88,74.72,24.740000000000002,487.23,1.0523684210526316,0.6485964912280702,0.327719298245614,0.10850877192982457,2.1369736842105262
X360,222,358.11,161.35,6.14,54.4,580.04,1.6131081081081082,0.7268018018018018,0.027657657657657656,0.24504504504504504,2.6127927927927925
PS3,211,221.42,198.93,32.27,79.73,532.26,1.0493838862559242,0.9427962085308057,0.15293838862559242,0.37786729857819906,2.522559241706161
Wii,163,323.39,214.56,56.48,61.61,655.99,1.9839877300613495,1.316319018404908,0.34650306748466253,0.3779754601226994,4.024478527607362
DS,160,205.31,170.38,146.03,45.51,567.29,1.2831875,1.064875,0.9126875,0.2844375,3.5455625
PC,96,105.45,72.31,0.26,10.19,188.19,1.0984375,0.7532291666666667,0.0027083333333333334,0.10614583333333333,1.9603125
GBA,78,100.55,44.46,36.97,6.19,188.09,1.289102564102564,0.5700000000000001,0.47397435897435897,0.07935897435897436,2.4114102564102566
XB,72,78.46000000000001,27.27,0.65,3.8200000000000003,110.13,1.0897222222222223,0.37875,0.009027777777777779,0.05305555555555556,1.5295833333333333
PSP,63,38.98,35.97,14.65,21.2,110.8,0.6187301587301587,0.570952380952381,0.23253968253968255,0.3365079365079365,1.7587301587301587
NES,62,117.92,20.19,82.09,3.6,223.82,1.9019354838709677,0.3256451612903226,1.324032258064516,0.05806451612903226,3.61
N64,59,98.42,31.8,29.78,2.87,162.79,1.668135593220339,0.5389830508474577,0.5047457627118644,0.04864406779661017,2.759152542372881
GC,56,65.74,21.38,17.53,3.15,107.73,1.1739285714285714,0.3817857142857143,0.3130357142857143,0.05625,1.92375
GB,51,126.25,57.86,74.68,9.33,268.12,2.4754901960784315,1.1345098039215686,1.4643137254901961,0.18294117647058825,5.257254901960785
SNES,44,76.92999999999999,24.18,59.12,3.93,164.17,1.7484090909090908,0.5495454545454546,1.3436363636363635,0.08931818181818182,3.7311363636363635
PS4,29,65.3,96.28,8.24,31.23,201.03,2.2517241379310344,3.32,0.28413793103448276,1.076896551724138,6.932068965517241
3DS,26,49.57,41.69,41.55,8.56,141.35,1.9065384615384615,1.6034615384615383,1.598076923076923,0.32923076923076927,5.436538461538461
GEN,11,19.27,5.52,1.1,0.89,26.79,1.7518181818181817,0.5018181818181818,0.1,0.08090909090909092,2.4354545454545455
NS,10,25.099999999999998,18.47,13.059999999999999,4.14,60.730000000000004,2.51,1.847,1.3059999999999998,0.414,6.073
WiiU,7,15.88,10.34,7.45,2.54,36.18,2.2685714285714287,1.477142857142857,1.0642857142857143,0.3628571428571429,5.168571428571428
XOne,6,19.69,10.370000000000001,0.11,3.0,33.17,3.2816666666666667,1.7283333333333335,0.018333333333333333,0.5,5.528333333333333
DC,6,5.43,1.69,1.43,0.27,8.84,0.9049999999999999,0.2816666666666667,0.2383333333333333,0.045000000000000005,1.4733333333333334
SAT,3,0.72,0.54,2.84,0.07,4.16,0.24,0.18000000000000002,0.9466666666666667,0.023333333333333334,1.3866666666666667
GBC,2,5.57,2.68,2.3,1.15,11.7,2.785,1.34,1.15,0.575,5.85
SCD,1,1.0,0.36,0.09,0.05,1.5,1.0,0.36,0.09,0.05,1.5
PSV,1,0.36,0.35,0.12,0.09,0.93,0.36,0.35,0.12,0.09,0.93
